	hemoglobin	leukocyty	etytr	weight	trombocyty	ast	alp	relationship	name	alt	hbver	smoker	erytrocyty	er-cv	indicator	ssn	hematokrit
15	6.69058	8.44984		60.73932	6.32529	72.80838	85.10661	married	Christopher Wise	4.68565	8.14834	Y	8.97794	46.77915	1.00000	241-33-9253	6.79360
16	6.42698	7.49302	5.06519	39.51788	6.76709	71.18733	88.89231	widowed	Mrs. Andrea Hooper MD	1.38363	5.02565	no	5.00172	50.42175	1.00000	117-37-4245	6.06120
17	4.98424	5.25440	5.91844	115.80927	4.15150	69.43233	53.20170	widowed	Mark Mitchell	1.42872	7.09075	no	5.90833	11.77566	0.00000	391-37-0029	7.18334
18	4.35938	4.06211	5.48723	57.60746	5.93246	88.29458	31.33070	divoced	David Farmer	3.77122	8.25346	no	8.50639	62.29149	0.00000	358-11-0846	7.92280
19	7.54617	5.43472	4.67938	32.11316	6.28387	75.76410	58.61615	married	Harold Castro	1.00447	4.93763	Y	6.13515	62.02765	1.00000	839-88-3591	7.20877
20	7.08605	8.66943	5.47705	89.95888	7.77805	62.63468	80.40350	married	Ricardo Koch	8.83858	6.62632	no	9.67006	27.47622	1.00000	552-66-9669	5.55812
21	6.79195	9.18338	5.82163	93.68377	5.08699	75.46936	79.95043	widowed	Kayla Neal	8.09345	5.84887	no	9.49702	46.86668	1.00000	894-57-9626	7.86784
22	6.83734	8.30402	4.49984	87.79593	5.76473	69.11358	90.39551	single	Janet Brooks	0.90361	5.12190	yes	4.86649	37.81970	1.00000	652-28-8738	6.39346
23	5.01087	5.58269	6.03993	27.09128	5.66431	62.06451	67.68027	nop	Matthew Wilson	1.08440	7.00707	no	6.78894	59.79325	0.00000	710-70-9147	5.45396
24	6.34409	7.81400	4.28781	43.32928	5.33704	71.70673	83.26984	widowed	Richard Hester	1.25054	6.20962	no	7.16410	50.31848	1.00000	689-35-5194	5.10792
25	6.21125	7.21370	5.30520	55.47760	6.74163	64.31186	87.75172	separated	Nicolas White	1.49647	5.32589	Y	5.89442	65.57548	1.00000	251-10-7209	6.47557
26	5.96716	5.15197	2.96086	25.19327	7.17390	69.81489	88.45056	married	Jessica King	2.01954	5.50341	yes	7.80262	32.64891	1.00000	067-30-3849	6.63926
27	6.67507	9.08282	8.26266	105.95346	6.70262	57.33315	81.94539	divoced	James Kennedy	0.85637	4.90244	no	2.71220	46.23058	1.00000	551-20-0781	6.62467
28	4.60160	6.85244	4.41092	49.76131	6.14541	84.97808	44.06349	separated	Cody Lee	0.95562	6.18434	N	4.97256	37.18727	0.00000	478-22-2975	5.90687
29	5.52438	8.58464	8.14971	32.54832	7.40287	68.00935	78.01585	single	Amanda Rivas	3.55910	7.98546	yes	8.63108	40.20973	1.00000	846-97-6819	4.66401
30	6.49903	7.44004	5.10784	57.86454	5.50750	58.43123	81.23711	divoced	Jeffery Wheeler	1.04268	5.32435	N	5.46334	48.83994	1.00000	634-84-7194	7.61239
31	5.34936	8.30700	9.16059	59.47820	5.18233	78.64195	64.79753	married	Brianna Graves	4.11090	9.32025	no	8.70524	77.66684	1.00000	391-16-9378	5.67527
32	6.36265	5.22063	4.50558	16.12403	3.67818	71.04394	87.74861	divoced	Donna Palmer	0.71464	8.57642	no	4.20338	57.37415	0.00000	472-89-1222	4.80621
33	4.54339	6.40193	4.69184	79.57360	7.31433	72.46020	39.51729	single	Christian Estrada	1.39498	7.10153	Y	6.99961	46.72680	0.00000	720-27-9985	5.77300
34	5.92302	7.36792	9.59890	134.01301	6.69092	55.72210	89.73182	nop	Jennifer Williams	1.21623	9.10211	no	7.07674	59.96195	1.00000	768-41-0822	5.64751
35	6.46003	7.15707	8.38945	84.08040	6.51893	73.14218	80.73235	divoced	Sarah Day	1.07092	8.02993	N	6.76924	52.19388	1.00000	797-31-7154	5.76730
36	7.84185	5.60481	4.56647	17.15361	6.92043	65.15458	44.78593	separated	Jason Jackson	1.51949	8.93657	no	7.40741	56.92233	0.00000	400-92-7254	6.89184
37	7.11558	7.09764	9.69055	89.26089	7.87244	60.36202	68.96093	divoced	Mikayla Chapman	0.94707	8.84954	no	6.44631	59.34590	1.00000	746-67-8101	6.48429
38	6.68904	5.37489	6.85881	79.21594	6.78485	72.58198	82.18473	single	Jacob Herring	1.61578	9.61680	no	7.06405	57.96890	1.00000	747-94-3893	6.04829
39	7.78663	8.17431	5.74088	71.88623	7.11931	72.29742	46.78270	nop	Samantha Taylor	0.78114	5.93328	no	5.88504	47.39161	1.00000	419-23-6913	9.10192
40	5.30031	8.51476	4.83798	150.88583	6.84243	62.78241	76.24442	married	Shannon Simmons	1.21102	6.24773	no	6.54840	71.19926	1.00000	446-33-0103	6.17028
41	5.44504	9.21514	8.27259	90.18178	6.69579	58.11048	70.07114	divoced	Michael Solis	6.34975	7.93135	no	9.30633	64.70962	1.00000	637-87-3511	7.31475
42	6.08999	6.00984	6.32217	140.65209	6.91033	61.61702	87.33949	married	James Williams	1.53475	7.69560	no	6.78971	68.79062	0.00000	795-55-1907	7.72666
43	6.55702	7.83351	8.22592	86.54460	5.16976	59.35420	87.39870	widowed	Mike Bowen	2.31346	8.47184	no	7.93976	37.58378	1.00000	401-27-2540	7.22996
44	7.27718	5.06195	4.28864	61.85787	5.75613	67.60859	63.90186	married	Tina Johnson	0.88493	8.04507	Y	2.60187	48.81739	0.00000	683-58-3834	6.01320
45	6.24922	5.87681	3.53671	66.19633	6.37248	79.97897	83.69747	married	Patrick Doyle	1.10027	4.98137	no	6.27973	75.75559	1.00000	393-85-8078	5.75344
46	6.49791	5.37907	3.30828	62.83941	6.97634	66.18972	88.40905	single	Michael Allen	1.60731	9.34354	no	5.40143		0.00000	319-93-9543	6.39998
47	5.30126	6.31759	5.26808	88.80182	6.75958	60.89751	66.86613	divoced	Linda Jones	1.27343	5.19088	no	6.49786	49.37827	0.00000	034-75-7474	5.01004
48	8.03093	4.10566	5.36251	55.08219	5.03253	72.10638	32.81289	divoced	Jennifer Jones	0.55758	7.02957	Y	3.20738	55.60286	0.00000	568-48-2010	6.24463
49	6.00476	5.36899	4.98360	51.37086	5.99557	64.51735	84.38442	widowed	Amanda Phillips	0.85915	8.00321	no	4.83362	44.06595	1.00000	215-99-1712	6.70541
50	6.34467	7.54825	9.12938	67.89844	5.75430	79.89647	87.60665	single	Cheryl Bates	3.82969	10.10251	no	8.37860	63.42752	1.00000	826-94-9241	6.90955
51	7.27628	10.04988	6.60435	110.93898	5.58429	69.58675	67.60116	divoced	Stephen Jackson	33.86328	7.31296	Y	11.06617	37.27845	1.00000	204-43-5463	7.68090
52	7.66048	5.72767	6.46600	123.92727	7.85656	62.27871	54.49456	divoced	Cheryl Jefferson	0.78733	7.13014	yes	5.52955	42.86178	0.00000	570-16-9027	7.64356
53	5.85704	7.64202	5.35310	38.78387	6.55736	70.91279	80.38705	divoced	Marie Hall	1.14828	5.08525	Y	5.44260	73.07379	1.00000	182-55-9564	6.15436
54	7.17637	8.68745	3.94579	10.72797	8.17196	84.02269	75.54876	widowed	James Berger	0.95419	5.41677	yes	5.35441	47.37821	1.00000	065-44-4143	7.45329
55	6.40473	4.78844	6.00162	-12.45169	6.48001	54.91110	86.32243	widowed	Michele Duran	0.70822	6.66537	yes	3.23703	39.65952	0.00000	263-13-6958	5.70752
56	5.97499	4.45495	4.50564	70.30779	7.02852	65.61053	84.88394	widowed	Chris Blankenship	1.14086	7.83713	no	3.60323	44.13004	0.00000	199-24-5488	7.59266
57	6.70573	3.99434	4.69795	106.60710	6.46172	68.06262	82.33445	divoced	Steven White	1.00899	7.39657	Y	4.95878	51.12661	0.00000	585-81-6938	6.29339
58	6.52257	4.91240	6.29742	55.24931	5.79522	69.61969	77.55936	divoced	Ashley Perry	1.05479	6.80384	Y	5.24548	45.47564	0.00000	750-57-8115	6.21729
59	6.30891	7.18203	6.90239	87.04702	6.06581	69.30037	88.03071	widowed	Erica Curtis	1.35251	6.69505	Y	6.79833	70.12416	1.00000	204-73-7488	5.31270
60	6.14632	5.36709	5.20696	44.22774	4.86453	71.07855	91.80046	single	Richard Hanson	1.11986	6.48766	no	7.11499	30.41577	0.00000	712-08-3415	6.12019
61	5.89124	5.13141	1.99511	109.39854	6.72867	72.00575	87.01707	married	Jason Pitts	0.84030	10.04738	yes	5.58377	52.41462	0.00000	373-08-6199	6.84541
62	6.97383	7.73009	7.21056	67.50329	7.16298	68.59239	77.29412	divoced	Kevin Sullivan	2.25359	7.38197	no	7.86453	28.67966	1.00000	205-86-4203	6.59678
63	5.13495	5.77047	4.10685	77.46551	5.94017	71.34557	64.95122	widowed	Victoria Davis	1.60556	7.91836	yes	7.04874	29.66630	0.00000	748-81-2388	5.14423
64	6.78974	7.95100	4.32799	81.38836	7.18823	68.80538	79.91142	married	William Gomez	0.80592	5.31783	yes	5.67499	64.16113	1.00000	314-46-7967	5.94239
65	6.42807	5.90708	9.43025	101.29844	6.62146	77.00388	83.85177	married	Danielle Snyder	0.51481	10.66237	N	6.61335	68.35758	1.00000	895-95-5796	7.58134
66	6.33429	10.74246	7.51179	47.46471	5.08647	62.61047	86.73804	married	Meredith Hernandez	1.32497	6.34493	no	4.50303	61.12122	1.00000	270-20-2027	6.30842
67	7.05365	3.30169	5.91812	65.86693	5.27948	60.09053	75.76089	single	Roberto Craig	6.19875	8.21299	yes	9.20347	52.55509	0.00000	192-35-4133	5.93155
68	4.86534	8.68714	8.43721	55.44109	6.79794	47.81722	48.27498	married	Andre Burns	1.56614	5.83758	yes	6.92585	34.06496	1.00000	702-80-6925	5.42849
69	5.75517	5.22300	4.68582	50.80047	5.96532	71.57867	77.22864	married	Dominique Marshall	1.14934	8.11713	N	5.21909	42.86630	0.00000	050-77-4658	8.69985
70	6.72538	7.58266	5.23859	72.02180	5.98322	56.82860	82.39288	nop	Ethan Todd	0.87051	4.95159	no	5.20643	59.05441	1.00000	708-90-1768	8.67325
71	7.33755	7.82193	8.07030	24.38196	8.18615	80.78548	65.44591	widowed	Gloria Owens	2.66117	8.92337	N	8.50856	47.11855	1.00000	813-65-8214	4.75185
72	4.86054	5.89420	6.93519	54.44164	3.98449	62.38495	56.99463	divoced	Emily Adams	1.24934	6.92037	no	6.82968	58.15587	0.00000	264-47-8963	6.77691
73	4.09564	6.29610	8.90190	76.79227	7.63884	51.62368	29.07856	separated	Joshua Thompson	1.60425	9.30293	yes	6.39137	55.37958	1.00000	508-63-8610	7.32919
74	6.67603	7.59401	8.02793	90.18565	6.52748	66.17254	81.61761	divoced	April Lee	1.78085	8.28272	N	7.82229	24.63886	1.00000	130-96-1336	6.47861
75	3.56318	9.92375	8.66347	34.15572	4.48059	51.24866	4.03191	nop	Christian Estrada	5.29164	7.06509	no	8.98918	56.86376	1.00000	720-27-9985	7.11027
76	5.71309	9.79099	6.72338	23.04558	6.22588	56.65135	81.39674	divoced	William Jennings	0.90241	5.14675	Y	3.24361	62.40962	1.00000	300-48-9783	5.94149
77	7.73932	9.10619	6.55234	118.69071	8.23640	69.16851	51.42879	divoced	Adam Buchanan	2.69802	4.81884	no	7.95587	59.33526	1.00000	796-80-2631	5.72190
78	6.09008	7.05623	4.69678	8.60228	5.80807	67.71778	93.73937	widowed	Dr. Anthony Andrade Jr.	1.06931	5.72680	no	6.38242	36.99763	0.00000	244-27-3902	7.27499
79	5.39827	4.72474	3.33966	41.58794	5.40773	79.46905	72.10057	divoced	Joshua Reyes	0.61127	8.89323	no	3.43887	59.87070	0.00000	635-59-9863	6.10901
80	6.70233	7.04709	3.08846	69.07330	7.10523	65.95510	79.28343	divoced	Gregory Clark	0.98790		no	6.22446	44.53055	1.00000	192-80-2819	8.08135
81	6.39089	6.86252	7.13231	53.85351	5.70382	63.30547	90.17820	separated	Kyle Vega	1.51863	7.87040	yes	7.28386	2.98593	1.00000	101-64-5164	7.49720
82	6.70900	6.09677	3.73044	18.75229	7.19050	65.71657	86.69125	married	Michael Olsen	1.95202	5.85698	no	7.55342	61.11799	1.00000	235-87-2510	8.87681
83	6.41468	3.63932	4.80154	61.24131	6.29787	73.10698		widowed	Joanna Campbell	7.28016	11.54753	yes	9.43668	42.31654	0.00000	411-22-3194	4.92309
84	6.02395	6.33024	8.77033	65.47270	7.06882	68.87689	87.90484	married	Andrea Jackson	5.53111	12.41312	Y	9.13807	46.44086	1.00000	146-04-9686	5.50450
85	7.01369	7.28150	8.77803	64.56076	6.16183	70.81890	77.15138	divoced	Barbara Ball	1.73018	8.65476	no		58.41782	1.00000	007-56-1389	5.30390
86	8.49521	8.56960	5.41379	74.80553	7.27465	67.86743	18.18770	single	Tina May	0.85908	5.48936	yes	5.09639	52.10822	1.00000	036-69-5479	8.33335
87	5.53479	4.94800	5.45524	26.18071	6.34609	58.43706	69.90476	married	Charles Davis	1.28168	7.95154	yes	3.98067	37.98244	0.00000	887-33-6248	5.77238
88	4.83549	7.15312	5.01932	16.60926	6.29890	61.58793	49.50687	divoced	Rebecca Richardson	1.69070	5.23905	no	5.97457	67.53193	1.00000	845-21-9204	4.96198
89	7.29390	8.96562	7.38689	40.90339	6.49448	61.78620	72.37378	divoced	John Murphy	3.47581	6.20208	no	8.45775	55.12680	1.00000	279-38-7376	7.15948
90	7.68818	5.06905	6.03363	116.89683	7.61241	60.90438	49.54321	single	John Hardy	2.12888	6.69451	yes	8.16842	28.93795	0.00000	109-31-7630	5.49006
91	8.46792	3.46300	5.53742	50.81363	4.93362	75.42187	23.34885	divoced	Jamie Wright	6.47893	9.87542	no	9.31924	54.65788	0.00000	005-06-1552	6.94691
92	6.64092	7.83540	7.10693	-12.09550	6.98844	63.05765	89.40190	married	Bradley Martinez	0.93852	5.07046	no	6.13626	43.41896	1.00000	657-94-5326	6.29208
93	7.07616	8.98342	6.86545	69.52813	6.89012	59.46499	80.57995	married	Andrew Medina	0.65116	5.68569	no	4.49902	67.14821	1.00000	692-97-5118	7.43883
94	6.21997	8.34455	6.03477	37.32635	6.76533	71.24738	89.10575	separated	Crystal Mitchell	0.82962	5.40610	no	4.74218	40.23661	1.00000	489-91-1343	8.10872
95	5.92345	6.91277	5.32519	90.35387	6.92699	55.66673	82.42804	married	Stephanie Sanchez	1.16689	4.81594	no	4.88657	44.55410	1.00000	018-75-4344	6.71316
96	6.43754	10.56140	6.81947	25.27090	4.94973	76.09723	80.13058	single	Michael Robinson	10.42918	5.25477	N	9.86848	49.93519	1.00000	615-61-6278	5.56268
97	6.23206	5.56645	3.91032	55.28803	5.56809	75.65713	89.36488	married	Rachel Fisher	1.07560	9.03185	Y	6.32081	39.66942	0.00000	106-88-6497	6.96315
98	7.26814	8.95962	4.42714	40.95858	5.18454	75.54620	66.43907	married	Donna Walker	1.00265	6.02176	no	6.05635	52.00227	1.00000	080-44-6544	8.04378
99	5.59962	7.04085	7.80379	-32.91044	5.15307	57.53163	78.78783	single	Kimberly Dennis	3.94222	10.03443	yes	8.65399	35.03311	1.00000	449-04-4258	4.54206
100	5.81574	6.14436	4.84407	35.27804	5.71696	67.37946	85.73094	nop	Eric Ashley	1.18121	8.88089	no	6.75220	61.19070	0.00000	799-03-0196	6.71857
101	6.65557	5.46791	4.99935	-6.81291	6.63960	60.60349	92.88161	single	John Adams	0.94591	8.51679	yes	5.83291	51.05842	0.00000	244-69-5190	7.48060
102	7.06044	7.38406	8.71584	-2.97803	7.24688	71.21530	75.47741	married	James Foster	1.07133	8.12793	Y	6.72125	39.79330	1.00000	530-20-6476	5.14967
103	5.71822	8.88888	7.48328	86.00229	6.42237	73.75560	76.18388	widowed	James Ortega	1.09758	4.73971	no	3.14044	56.03066	1.00000	661-52-9995	4.88083
104	6.79473	8.67048	6.12105	42.92723	6.94648		84.73882	single	Pamela Green	0.96373	4.78005	no	3.74882	49.02355	1.00000	779-97-0704	5.78947
105	6.28651	7.43674	5.90198	75.74427	6.76478	71.50345	87.45980	married	Brandy Shaw	1.06391	5.28645	yes	5.05888	41.39183	1.00000	528-63-4858	8.48120
106	3.83960	7.41624	3.54166	62.21896	6.53695	69.00349	19.13911	nop	Brian Hampton	2.10593	6.28947	Y	7.66131	42.59815	1.00000	681-32-0989	6.63749
107	7.28966	6.92308	7.34839	122.05690	7.00860	75.93106	67.23244	nop	Leslie Henderson	0.34065	4.93758	Y	4.69948	67.09607	1.00000	789-68-6962	6.53910
108	6.46528	7.63516	4.52525	71.29717	5.08743	70.01159	89.62889	divoced	Mary Hoover	1.56361	5.13045	Y	5.05085	46.78193	1.00000	371-15-4258	6.04444
109	6.60784	6.04506	8.00387	78.70807	5.93944	73.20258	81.57185	divoced	Sean Mosley	1.32515	8.38438	no	6.13062	32.36306	1.00000	165-77-8382	8.91504
110	6.96610	4.44012	4.46472	84.67415	7.20122	67.33981	76.31952	single	Pamela Bolton	3.56814	10.13552	no	8.71817	56.13542	0.00000	623-71-3864	6.29600
111	6.84628	5.25860	6.05723	126.90460	6.19017	76.31162	82.38525	married	Sarah Jones	1.26122	6.78392	N	3.90947	40.48179	0.00000	400-96-0065	5.83663
112	6.92437	8.95768	6.91543	20.94127	6.94385	64.18254	82.37241	married	Leslie Chapman	2.98122	6.11196	Y	8.46555	47.95046	1.00000	729-86-7497	6.38491
113	6.77345	8.65652	5.81961	89.16172	5.89903	75.70758	85.46223	divoced	Christina Beck	6.71328	6.40667	no	9.32630	42.48408	1.00000	663-57-9491	7.39944
114	7.17377	4.91889	5.23350	93.85885	7.58945	57.05070	73.93219	divoced	Laura Peck	0.72608	7.41627	yes	4.26160	36.57398	0.00000	729-35-1026	5.23592
115	5.82623	5.07350	3.17062	78.74703	4.54148	73.11376	82.18534	widowed	Erik Roth	1.35521	5.25071	Y	7.39458	83.79778	1.00000	494-76-4596	7.92655
116	7.50349	7.47280	5.95528	118.66213	7.22923	80.34774	60.35604	separated	Christopher Simon	0.98391	4.35172	Y	3.90689	68.14787	1.00000	681-41-1578	6.02971
117	5.74543	6.11003	4.27755	50.10263	4.90559	64.16916	81.69392	married	James Brooks	1.19951	8.74395	Y	4.33922	56.56532	0.00000	150-65-3264	6.78297
118	4.22106	5.54788	6.34304	67.90267	6.86549	75.35312	27.06617	married	Alice Johnson	0.96873	6.50584	Y	3.36626	49.18890	0.00000	881-34-9091	6.36104
119	6.86845	7.88840	3.48958	74.85686	7.42543	74.93694	80.75727	divoced	Susan Ortiz	1.15051	5.61285	no	6.07439	46.34848	1.00000	099-73-3351	6.37222
120	5.88806	7.28743	6.32735	57.30899	5.46649	62.45692	82.09859	divoced	David Scott	3.90341	8.05484	yes	8.54687	43.24375	1.00000	451-93-5221	7.13537
121	7.90149	4.84168	4.40038	63.03949	8.40375	66.10941	48.06222	separated	Rick Stout	0.71790	7.52575	Y	5.09893	53.10424	0.00000	321-97-6892	6.96170
122	4.21888	9.54377	7.10085	61.82677	5.91341	85.62349	21.03087	married	Monique West	1.07255	6.44703	Y	5.46962	41.85303	1.00000	196-74-8438	6.76748
123	5.64625	5.19699	5.44998	30.04586	7.85385	73.29291	75.64007	divoced	Miss Barbara Fisher	0.59798	7.21707	Y	4.49714	56.03117	0.00000	760-24-6546	5.23884
124	5.72092	5.80182	5.49084	82.89367	6.30435	68.56642	81.03592	married	William Smith	0.71200	7.50585	no	4.78840	68.68782	0.00000	677-80-1392	8.60507
125	4.72525	5.38691	3.40005	98.81987	5.43916	51.55146	50.01576	separated	Kristina Miller	0.94516	9.06978	N	5.82925	47.58213	0.00000	436-64-7176	6.70240
126	6.92771	7.79881	6.24033	66.17062	5.97368	86.19674	84.04284	divoced	William Singleton	0.71776	4.51972	no	3.72008	47.66584	0.00000	638-94-5535	8.04194
127	7.13422	7.81698	6.00008	45.24847	7.38461	70.69834	76.02039	divoced	Robin Santiago	4.08773	7.12003	no	8.68391	57.21697	1.00000	274-43-1812	8.04643
128	5.44255	8.11897	9.17537	91.11969	4.42232	52.55085	82.53784	married	Mandy Schroeder	1.53529	6.03866	no	5.87636	67.46576	1.00000	637-72-3988	5.52244
129	7.58126	7.42610	5.76260	114.76154	6.34089	81.21794	58.17787	widowed	Christian Baker DVM	1.48037	6.13404	Y	7.50595	44.38933	1.00000	797-69-7987	5.86906
130	6.51748	8.16333	8.59427	133.33655	6.69858	60.44744	89.79159	married	Annette Jackson	0.37501	4.46616	no	2.75307	55.11361	1.00000	495-85-8218	3.45933
131	4.83354	4.87452	5.00951	47.23120	6.19571	64.25880	52.63500	nop	Nathan Gregory	3.17776	8.38397	yes	8.35753	71.47286	0.00000	300-11-7340	5.97292
132	6.37130	7.46682	5.20466	47.14993	6.23986	65.79694	89.61229	divoced	Christopher Waller	1.31706	4.96513	no	4.41875	58.10912	1.00000	544-64-3440	5.41889
133	5.77700	7.53461	5.66145	65.30668	6.47473	68.21233	86.45393	separated	Tyler Valenzuela	1.22295	5.01820	no	6.83100	78.37662	1.00000	180-02-2966	7.81996
134	8.07402	10.10743	5.74371	53.89465	6.53734	69.15444	37.59774	single	Rachel Smith	28.28148	6.06156	no	10.86471	23.38960	1.00000	844-84-5693	6.66535
135	5.61393	8.60547	4.98722	67.67976	5.43280	64.03154	73.28328	divoced	Jeffrey Stein	1.42879	6.56651	yes	6.83470	40.10041	1.00000	035-84-8143	5.09352
136	5.08840	11.28378	7.34179	11.30158	8.18170	53.19822	66.73367	divoced	Jennifer Lewis	100.00000	7.48859	Y	12.15520	41.10419	1.00000	527-92-0367	5.77385
137	7.31791	5.87694	4.37001	15.16518	5.15268	75.85515	68.12100	married	Andrew Scott	0.66146	4.15891	no	4.49821	46.51595	1.00000	845-32-9927	6.44465
138	5.56153	5.89564	5.56162	123.99684	5.17983	63.64429	76.00468	married	Rhonda James	1.58174	6.47515	no	7.18530	24.03386	0.00000	151-42-8347	8.23227
139	5.76331	5.68387	5.16500	98.92171	5.61005	70.83404	76.41685	married	Steven White	1.16528	4.12754	no	4.92246	51.56695	1.00000	585-81-6938	4.78619
140	7.37244	8.07659	8.63741	69.49181	7.36817	62.79702	67.77779	divoced	Mark Hill	4.34956	9.00197	no	8.64858	57.43034	1.00000	436-27-4219	5.33382
141	6.40594	4.35738	1.34071	93.07725	6.59739	79.67913	81.51386	married	Diana Kelley	1.28382	3.90899	yes	6.06529	40.39154	1.00000	148-04-0094	8.34253
142	6.44999	8.41099	3.35884	19.20416	6.91389	77.73291	90.65834	single	Dylan Sims	0.96419	8.13267	Y	5.31411	57.04651	0.00000	631-55-9393	5.79226
143	5.76055	7.33108	5.33431	73.63012	5.62857	69.60374	81.18765	single	Shannon Simmons	0.66109	4.87665	yes	4.63128	56.72320	1.00000	446-33-0103	6.49342
144	5.66042	5.17531	5.23881	43.34567	4.94299	68.78218	78.94115	divoced	Melissa Wright	1.46158	7.10333	yes	7.51871	61.37556	0.00000	251-86-4006	6.40636
145	5.53900	6.40602	8.33011	32.38114	5.75675	73.91537	80.03329	single	Tina Wells	1.54330	10.16326	Y	7.66389	40.20031	1.00000	375-53-1939	4.86675
146	4.93645	7.98423	3.74252	46.41578	7.09643	68.88632	52.72211	single	Miss Barbara Fisher	1.61855	5.27945	Y	5.47902	36.80854	1.00000	760-24-6546	7.49984
147	4.48577	5.03987	7.44001	77.39749	5.56778	72.49951	38.40343	nop	Michael Gaines	1.07741	5.98184	no	4.92402	43.83493	0.00000	762-57-3318	5.56707
148	6.15088	4.70200	5.52312	96.31610	6.54313	70.36629	87.40763	divoced	Christie Giles	1.07313	7.27929	no	5.39972	44.74844	0.00000	328-56-7521	5.28191
149	7.75887	8.13730	6.79944	62.26305	6.62874	65.80081	52.01209	nop	Mark Hill	1.42926	4.96823	Y	6.71046	44.04414	1.00000	436-27-4219	7.67889
150	7.29009	7.78848	4.31221	17.54336	6.27423	70.30707	68.74144	divoced	Andrew Preston	0.59599	4.78714	no	4.78182	22.52745	1.00000	414-03-6432	5.61945
151	4.98129	6.63680	7.68490	80.82863	6.53857	80.99872	60.26869	nop	Timothy Oliver	0.84799	7.82910	yes	6.52367	45.28553	1.00000	852-78-3118	8.28720
152	7.14663	5.27248	6.32620	83.72803	6.81362	67.23409	75.18966	separated	Stacey Thompson	0.56557	6.95980	no	4.81123	32.13613	0.00000	057-94-4504	5.01387
153	5.76508	6.20603	6.89696	46.00058	4.83319	77.43464	86.79474	single	Sara Yoder	1.25066	7.08876	no	6.13301	75.89981	0.00000	132-84-0625	6.53447
154	6.17995	7.11085	6.58108	5.26545	5.14795	70.20673	80.26426	divoced	Jasmine Lynch	1.13326	5.15742	no	4.83816	57.24685	1.00000	649-84-3846	6.40173
155	5.29082	7.29231	4.86572	96.86447	7.62300	71.01806	65.13051	single	John Gomez	1.14025	5.40070	no	6.07953	43.72121	1.00000	574-36-2387	6.89741
156	5.55501	6.68622	4.26457	47.23115	5.54960	73.57958	80.26575	single	Tiffany Williams	0.98023	5.36206	yes	6.11206	62.35548	1.00000	316-45-1081	6.22618
157	6.51325	6.30852	4.46018	85.11249	5.92566	73.32927	93.70021	single	Rachel Fuentes	1.07689	6.73482	yes	6.02192	39.01376	0.00000	106-01-7930	5.20218
